MAKE,MODEL,VEHICLE_CLASS,ENGINE_SIZE,CYLINDERS,TRANSMISSION,FUEL,COEMISSIONS,CONSUMPTION
ACURA,1.6EL,COMPACT,1.6,4,A4,X,216,10.5
ACURA,1.6EL,COMPACT,1.6,4,M5,X,205,9.8
ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,265,13.7
ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,301,15
ACURA,INTEGRA,SUBCOMPACT,1.8,4,A4,X,230,11.4
ACURA,INTEGRA,SUBCOMPACT,1.8,4,M5,X,219,10.6
ACURA,INTEGRA GSR/TYPE R,SUBCOMPACT,1.8,4,M5,Z,223,10.8
ACURA,NSX,SUBCOMPACT,3,6,AS4,Z,306,15.2
ACURA,NSX,SUBCOMPACT,3.2,6,M6,Z,306,15.4
AUDI,A4,COMPACT,1.8,4,A5,Z,251,12.9
AUDI,A4,COMPACT,1.8,4,M5,Z,223,11.1
AUDI,A4,COMPACT,2.8,6,A5,Z,285,14.6
AUDI,A4,COMPACT,2.8,6,M5,Z,260,13.2
AUDI,A4 QUATTRO,COMPACT,1.8,4,A5,Z,267,13.6
AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,246,12.1
AUDI,A4 QUATTRO,COMPACT,2.8,6,A5,Z,292,14.9
AUDI,A4 QUATTRO,COMPACT,2.8,6,M5,Z,288,14.3
AUDI,A6,MID-SIZE,2.8,6,A5,Z,294,15
AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,2.8,6,A5,Z,306,15.4
AUDI,A6 QUATTRO,MID-SIZE,2.7,6,A5,Z,304,15.2
AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,304,15.2
AUDI,A6 QUATTRO,MID-SIZE,2.8,6,A5,Z,306,15.4
AUDI,A6 QUATTRO,MID-SIZE,2.8,6,M5,Z,297,14.6
AUDI,A6 QUATTRO,MID-SIZE,4.2,8,A5,Z,308,15.5
AUDI,A8 QUATTRO,MID-SIZE,4.2,8,A5,Z,308,15.5
AUDI,S4 QUATTRO,COMPACT,2.7,6,A5,Z,304,15.2
AUDI,S4 QUATTRO,COMPACT,2.7,6,M6,Z,304,15.2
AUDI,TT COUPE QUATTRO,MINICOMPACT,1.8,4,M5,Z,260,13.1
AUDI,TT COUPE QUATTRO (SUPERCHARGED),MINICOMPACT,1.8,4,M6,Z,260,13.1
AUDI,TT ROADSTER,TWO-SEATER,1.8,4,M5,Z,246,12.3
AUDI,TT ROADSTER QUATTRO (SUPERCHARGED),TWO-SEATER,1.8,4,M6,Z,260,13.1
BMW,323 CONVERTIBLE,COMPACT,2.5,6,A5,Z,292,14.6
BMW,323 CONVERTIBLE,COMPACT,2.5,6,M5,Z,281,13.9
BMW,323Ci,COMPACT,2.5,6,A5,Z,271,13.8
BMW,323Ci,COMPACT,2.5,6,M5,Z,258,13
BMW,323i,COMPACT,2.5,6,A5,Z,271,13.8
BMW,323i,COMPACT,2.5,6,M5,Z,258,13
BMW,328Ci,COMPACT,2.8,6,A5,Z,274,13.9
BMW,328Ci,COMPACT,2.8,6,M5,Z,258,13
BMW,328i,COMPACT,2.8,6,A5,Z,274,13.9
BMW,328i,COMPACT,2.8,6,M5,Z,258,13
BMW,528i,COMPACT,2.8,6,A4,Z,288,14.6
BMW,528i,COMPACT,2.8,6,M5,Z,258,13
BMW,528i TOURING,STATION WAGON - SMALL,2.8,6,A4,Z,288,14.6
BMW,528i TOURING,STATION WAGON - SMALL,2.8,6,M5,Z,285,14.5
BMW,540i,COMPACT,4.4,8,A5,Z,294,14.7
BMW,540i,COMPACT,4.4,8,M6,Z,317,16.4
BMW,540i TOURING,STATION WAGON - SMALL,4.4,8,A5,Z,320,15.5
BMW,740i,MID-SIZE,4.4,8,A5,Z,308,15.4
BMW,740iL,FULL-SIZE,4.4,8,A5,Z,308,15.4
BMW,750iL,FULL-SIZE,5.4,12,A5,Z,373,19.1
BMW,M COUPE,TWO-SEATER,3.2,6,M5,Z,281,13.9
BMW,M ROADSTER,MINICOMPACT,3.2,6,M5,Z,281,13.9
BMW,M5,COMPACT,4.9,8,M6,Z,375,19.6
BMW,X5,SUV,4.4,8,A5,Z,294,14.9
